"Population","Cage","Sex","Time_Block","Marker","Mating_Status","Generations","Male_Prop_Mated","Female_Prop_Mated","Sex_Bias"
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
1,3,"Male","Day 3 Final","Red","Non-Mated",1,0.38719512195122,0.392857142857143,1.2
